X_Translation,Y_Translation,Z_Translation,Axis_X,Axis_Y,Axis_Z,Angle_Rotated,Intersection
5.59348898556809,5.31234612718172,2,-0,-0,-1,0.314159265358979,0
-7.96585191005649,-0.143363573292556,4.89858719658941e-16,-0,-0,-1,0.314159265358979,3.43018066170935
5.78102019920848,-5.10763603470311,-2,-0,-0,-1,0.314159265358979,10.9158161217014
-0.726798843821082,6.86136107240711,-4,-0,-0,-1,0.314159265358979,17.4809636888582
-3.13055906136229,-4.23911140292724,-6,-0,-0,-1,0.314159265358979,47.9529307504679
9.57564858605658e-16,1.87209265995052e-16,-8,-0,-0,-1,0.314159265358979,126.488538022478
0,0,0,-0,-0,-1,0.314159265358979,29.4673784271023
-0.770906070261296,-0.757583782991404,7.9017898585008,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,0
-4.18557428613441,3.29547791196654,5.96384701116163,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,1.75540456356128
-0.281032813570029,-7.25704347516173,3.28327068847248,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,0
4.91578987215492,5.49568544234562,3.02132980526067,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,0
-7.90136870810423,-0.716641466390933,-0.822080047526158,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,8.51646280818052
6.36664318803994,-4.47238686314851,-1.84747455954577,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,10.8092617483782
-0.915438241222268,7.14852546987978,-3.40775481494775,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,12.7967226255684
-2.17415013274714,-3.87229471444214,-6.62553016324198,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,68.7669090522988
0.770906070261297,0.757583782991404,-7.9017898585008,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,105.453850478365
0,0,0,0.638580180375856,-0.584991754840306,-0.5,0.314159265358979,27.8211074328439
1.24156341020458,0.108961791164862,7.86905314466773,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,0.270643119018218
-2.91233443435756,3.66119496920901,6.45864615491776,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,5.81399844784624
1.22648489349552,-6.84719452764419,3.93452657233386,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,0.472331371393046
4.93802136526886,6.16695789591622,1.15210913572418,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,0
-7.74776188770462,-1.3820513137056,1.24156341020458,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,2.54678198476918
6.12507518086479,-4.19351481172695,-2.92494832132667,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,16.6675577376775
-2.39969591306907,6.63791630583555,-3.74652184329554,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,13.2196988124458
-3.3237535510539,-4.77359280971298,-5.45932547654349,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,43.3628130779243
-1.24156341020458,-0.108961791164862,-7.86905314466773,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,135.725281884244
0,0,0,-0.0874257247169608,0.996171040864828,-6.31539347672888e-17,0.314159265358979,37.0502291984838
-0.891079024195003,0.611725044490548,7.9017898585008,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,0
-4.78120546182118,3.67521937869185,5.21186873711038,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,2.18369466407495
0.649703763634683,-6.48543268543333,4.61851917002831,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,0.185733030330433
3.99204907760828,6.6421009434585,1.92054632650718,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,0
-7.68427954626583,-2.04175901635582,-0.687286003763562,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,14.3749510628008
6.98040048137074,-3.72665549620879,-0.939164667565241,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,8.25783807660761
-1.8133019190542,6.176257698899,-4.72259200098272,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,18.7716518043569
-1.40378628799734,-5.31860866395216,-5.76505765188757,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,31.1772631470449
0.891079024195003,-0.611725044490548,-7.9017898585008,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,107.280948816359
0,0,0,-0.526923510257363,-0.687278411081026,0.500000000000001,0.314159265358979,28.1691331609293
4.23769793167627e-17,-1.47505629717032e-16,8,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,0
-4.394779767521,2.90798492397973,6,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,1.29433449876523
1.67101427606653,-6.69434265738655,4,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,2.84998140105478
3.67811891524861,6.78082455546112,2,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,0
-7.5316735863797,-2.59793047546083,4.73822354934833e-16,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,12.7455510790559
7.07642326709626,-3.07121704728807,-2,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,9.40466752121509
-2.81150395236833,6.30094896433391,-4,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,11.5215968276802
-1.6673811304023,-4.99903047491047,-6,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,50.2656302700008
8.10470474538464e-16,6.2145603657785e-16,-8,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,126.370944384591
0,0,0,1.20592621786877e-16,2.13311368001269e-17,1,0.314159265358979,32.001123120369
0,0,8,NaN,NaN,NaN,0,0
-3.90178935182788,3.57435866330766,6,NaN,NaN,NaN,0,3.38751326062173
0.605703188393225,-6.90167542322661,4,NaN,NaN,NaN,0,0.0312807912374522
4.71294715151308,6.14720498658087,2,NaN,NaN,NaN,0,0
-7.87770788252343,-1.39345560303451,4.89858719658941e-16,NaN,NaN,NaN,0,7.6912901248112
6.5357004101655,-4.15747761852816,-2,NaN,NaN,NaN,0,12.1270912378779
-1.79859138381195,6.69067029781601,-4,NaN,NaN,NaN,0,14.843217667549
-2.43889072982855,-4.69593569035569,-6,NaN,NaN,NaN,0,47.0850668794248
