1, pitcher, PitcherAssm.STL, PitcherAssm_P.ply
2, spray bottle, SprayBottle.STL, SprayBottle_P.ply
3, pringles can, PringlesCan.STL, PringlesCan_P.ply
4, margarita glass, WineGlass.STL, WineGlass_P.ply
5, cereal box, CerealBox.STL, CerealBox_P.ply
6, graham cracker box, CrackerBox.STL, CrackerBox_P.ply
9, remote, Remote.STL, Remote_P.ply
11, food clip, FoodClip.STL, FoodClip_P.ply
13, soap dispenser, SoapDispenser.STL, SoapDispenser_P.ply
15, chunk of foam, Chunk_of_foam.STL, Chunk_of_foam_P.ply
17, ball, Ball.STL, Ball_P.ply
18, thunderstick, ThunderStick.STL, ThunderStick_P.ply
19, snowman, SnowMan.STL, SnowMan_P.ply
22, tape roll, TapeRoll.STL, TapeRoll_P.ply
